gender,SeniorCitizen,tenure,PhoneService,PaymentMethod,StreamingTV,MonthlyCharges,Churn
Female,0,69,Yes,Credit card (automatic),No,64.15,No
Female,1,43,Yes,Electronic check,Yes,90.25,No
Female,0,15,Yes,Credit card (automatic),Yes,99.1,Yes
Female,1,25,Yes,Credit card (automatic),Yes,69.5,No
Female,1,8,Yes,Credit card (automatic),No,80.65,Yes
Female,1,60,Yes,Credit card (automatic),No,74.85,No
Male,1,18,Yes,Electronic check,Yes,95.45,Yes
Female,0,63,Yes,Credit card (automatic),Yes,99.65,No
Male,1,66,Yes,Electronic check,Yes,108.45,No
Female,0,34,Yes,Credit card (automatic),No internet service,24.95,No
Female,0,72,Yes,Credit card (automatic),Yes,107.5,No
Female,0,47,Yes,Electronic check,Yes,100.5,No
Male,0,60,Yes,Bank transfer (automatic),Yes,89.9,No
Male,0,72,No,Bank transfer (automatic),No,42.1,No
Female,0,18,Yes,Credit card (automatic),No,54.4,No
Female,0,9,Yes,Electronic check,Yes,94.4,Yes
Female,0,3,Yes,Electronic check,Yes,75.3,No
Male,0,47,Yes,Electronic check,No,78.9,No
Female,0,31,Yes,Mailed check,Yes,79.2,No
Female,0,50,Yes,Bank transfer (automatic),No internet service,20.15,No
Male,0,10,Yes,Mailed check,No,79.85,No
Male,0,1,Yes,Mailed check,No,49.05,No
Female,0,52,Yes,Electronic check,No internet service,20.4,No
Male,1,64,Yes,Bank transfer (automatic),Yes,111.6,No
Male,0,62,Yes,Bank transfer (automatic),No internet service,24.25,No
Female,0,3,Yes,Bank transfer (automatic),No,64.5,No
Female,1,56,Yes,Electronic check,Yes,110.5,No
Female,0,46,Yes,Credit card (automatic),No,55.65,No
Female,0,8,Yes,Mailed check,No,54.65,No
Male,1,30,Yes,Electronic check,Yes,74.75,No
Female,0,45,Yes,Credit card (automatic),No internet service,25.9,No
Female,0,1,Yes,Electronic check,Yes,79.35,Yes
Female,0,11,No,Electronic check,Yes,50.55,No
Female,0,7,Yes,Bank transfer (automatic),No,75.15,Yes
Female,0,42,Yes,Bank transfer (automatic),Yes,103.8,No
Female,0,49,Yes,Bank transfer (automatic),No internet service,20.15,No
Male,0,9,Yes,Credit card (automatic),Yes,99.3,No
Female,0,35,Yes,Bank transfer (automatic),Yes,62.15,No
Female,0,48,Yes,Bank transfer (automatic),No internet service,20.65,No
Female,0,46,Yes,Mailed check,No internet service,19.95,No
Male,0,29,No,Mailed check,Yes,33.75,No
Male,0,30,Yes,Bank transfer (automatic),No,82.05,No
Male,1,1,Yes,Electronic check,No,74.7,No
Male,0,66,Yes,Mailed check,Yes,84.0,No
Female,0,65,Yes,Credit card (automatic),Yes,111.05,No
Male,0,72,Yes,Bank transfer (automatic),Yes,100.9,No
Female,0,12,Yes,Electronic check,No,78.95,Yes
Male,0,71,Yes,Credit card (automatic),No,66.85,No
Male,0,5,Yes,Mailed check,No internet service,21.05,Yes
Male,0,52,Yes,Bank transfer (automatic),No internet service,21.0,No
Female,1,25,Yes,Electronic check,Yes,98.5,Yes
Male,0,1,Yes,Mailed check,No internet service,20.2,No
Female,0,1,Yes,Electronic check,No internet service,19.45,No
Male,0,38,Yes,Bank transfer (automatic),Yes,95.0,No
Female,1,66,No,Bank transfer (automatic),Yes,45.55,No
Male,0,68,Yes,Bank transfer (automatic),Yes,110.0,Yes
Male,0,5,No,Mailed check,No,24.3,No
Female,0,72,Yes,Electronic check,Yes,104.15,No
Female,0,32,No,Mailed check,No,30.15,No
Male,0,43,Yes,Mailed check,Yes,94.35,No
Male,0,72,Yes,Credit card (automatic),No internet service,19.4,No
Male,0,55,Yes,Electronic check,Yes,96.75,Yes
Female,0,52,Yes,Credit card (automatic),No,57.95,No
Female,0,43,Yes,Electronic check,Yes,91.65,No
Female,1,37,Yes,Electronic check,No,76.5,Yes
Female,0,64,No,Electronic check,Yes,54.6,No
Male,0,3,Yes,Electronic check,Yes,89.85,No
Female,0,36,No,Bank transfer (automatic),No,31.05,No
Female,0,10,Yes,Electronic check,Yes,100.25,Yes
Female,0,41,Yes,Mailed check,No internet service,20.65,No
Male,0,27,Yes,Credit card (automatic),No,85.2,No
Female,0,56,Yes,Credit card (automatic),Yes,99.8,No
Female,0,6,Yes,Mailed check,No internet service,20.7,No
Male,0,3,Yes,Electronic check,No,74.4,Yes
Female,0,7,Yes,Mailed check,No,50.7,No
Female,0,4,Yes,Mailed check,No internet service,20.85,No
Male,0,33,Yes,Electronic check,Yes,88.95,No
Female,1,27,Yes,Electronic check,No,78.05,Yes
Male,0,72,Yes,Bank transfer (automatic),No internet service,23.55,No
Male,0,1,Yes,Mailed check,No internet service,19.75,No
Male,1,71,No,Electronic check,Yes,56.45,No
Female,0,13,Yes,Electronic check,No,85.95,No
Female,0,25,No,Credit card (automatic),Yes,58.6,Yes
Male,0,67,Yes,Bank transfer (automatic),No,50.55,No
Male,0,1,No,Electronic check,No,35.45,Yes
Male,0,2,Yes,Electronic check,No,44.35,Yes
Female,0,43,Yes,Credit card (automatic),No internet service,25.7,No
Female,0,23,Yes,Bank transfer (automatic),No,75.0,No
Female,0,64,Yes,Mailed check,No internet service,20.2,No
Male,0,57,Yes,Mailed check,No internet service,19.6,No
Female,1,1,Yes,Mailed check,No,70.45,Yes
Female,1,72,Yes,Credit card (automatic),Yes,88.05,No
Female,0,8,Yes,Electronic check,No,71.15,Yes
Female,0,61,Yes,Bank transfer (automatic),Yes,101.05,No
Male,0,64,Yes,Credit card (automatic),No,84.3,No
Male,1,71,Yes,Bank transfer (automatic),No internet service,23.95,No
Female,0,65,Yes,Credit card (automatic),Yes,99.05,No
Male,0,3,Yes,Mailed check,No internet service,19.6,No
Male,0,1,Yes,Electronic check,No,45.65,Yes
Male,0,30,Yes,Credit card (automatic),Yes,64.5,No
Male,0,15,Yes,Mailed check,No,69.5,No
Female,0,8,Yes,Electronic check,Yes,68.55,No
Male,0,7,Yes,Mailed check,Yes,95.0,Yes
Female,0,70,Yes,Credit card (automatic),Yes,108.15,No
Male,0,62,Yes,Electronic check,Yes,86.1,No
Female,0,6,Yes,Mailed check,No internet service,19.7,No
Female,0,14,Yes,Bank transfer (automatic),No,80.9,No
Female,0,22,Yes,Bank transfer (automatic),Yes,84.15,No
Male,0,22,Yes,Mailed check,No internet service,20.15,No
Male,0,16,Yes,Mailed check,Yes,64.25,No
Male,0,10,Yes,Bank transfer (automatic),No internet service,25.7,No
Female,0,13,Yes,Electronic check,No,56.0,No
Female,0,20,Yes,Electronic check,No,82.4,Yes
Female,0,2,Yes,Electronic check,No,69.7,No
Male,0,53,Yes,Bank transfer (automatic),No,73.9,No
Female,0,11,Yes,Mailed check,No internet service,20.6,No
Male,0,69,Yes,Mailed check,No internet service,19.9,No
Female,0,4,Yes,Bank transfer (automatic),No,70.9,Yes
Male,0,72,Yes,Bank transfer (automatic),Yes,89.05,No
Male,1,58,No,Electronic check,No,45.3,Yes
Female,0,16,Yes,Electronic check,No internet service,20.4,No
Male,0,43,Yes,Bank transfer (automatic),No,84.25,No
Female,0,2,Yes,Electronic check,Yes,104.4,Yes
Male,0,14,Yes,Mailed check,Yes,81.95,No
Female,0,53,Yes,Bank transfer (automatic),Yes,94.85,Yes
Female,0,32,Yes,Bank transfer (automatic),No internet service,20.55,No
Female,0,34,Yes,Electronic check,No internet service,24.7,No
Female,1,15,Yes,Mailed check,No,74.45,Yes
Female,1,7,Yes,Bank transfer (automatic),No,76.45,Yes
Female,0,15,Yes,Bank transfer (automatic),Yes,105.35,No
Male,0,61,Yes,Credit card (automatic),No internet service,20.55,No
Female,0,1,No,Bank transfer (automatic),No,29.95,Yes
Female,0,1,Yes,Mailed check,No,45.3,No
Male,0,8,Yes,Bank transfer (automatic),No,84.5,Yes
Male,0,33,Yes,Credit card (automatic),Yes,74.75,No
Female,0,13,Yes,Electronic check,No,79.25,Yes
Female,0,1,No,Electronic check,No,24.8,Yes
Male,0,20,Yes,Mailed check,No,51.8,No
Male,0,3,No,Electronic check,No,30.4,No
Female,0,13,Yes,Electronic check,No internet service,19.65,No
Female,0,40,Yes,Credit card (automatic),No,56.6,No
Male,0,43,Yes,Credit card (automatic),No,71.9,No
Male,0,6,Yes,Electronic check,No,91.0,Yes
Female,0,69,Yes,Bank transfer (automatic),No internet service,19.75,No
Female,0,72,Yes,Credit card (automatic),Yes,109.7,No
Male,0,59,Yes,Credit card (automatic),No internet service,19.3,No
Female,0,20,Yes,Electronic check,Yes,96.55,No
Male,0,24,Yes,Bank transfer (automatic),No internet service,24.1,No
Male,0,59,Yes,Electronic check,Yes,111.35,No
Male,0,72,Yes,Bank transfer (automatic),Yes,112.25,No
Male,0,1,Yes,Mailed check,No internet service,20.75,No
Female,0,27,Yes,Credit card (automatic),Yes,101.9,No
Female,0,14,Yes,Credit card (automatic),No,80.05,No
Male,0,71,Yes,Electronic check,Yes,105.55,No
Male,0,13,Yes,Credit card (automatic),Yes,78.3,No
Male,0,44,Yes,Credit card (automatic),No,68.85,No
Female,0,33,Yes,Bank transfer (automatic),No,79.95,No
Male,0,72,No,Credit card (automatic),No,55.45,No
Male,0,1,Yes,Electronic check,No,79.9,Yes
Female,0,19,Yes,Electronic check,Yes,106.6,Yes
Male,0,64,Yes,Credit card (automatic),Yes,102.45,No
Male,0,2,Yes,Credit card (automatic),No,46.0,Yes
Female,0,1,No,Electronic check,No,25.25,No
Male,0,61,Yes,Mailed check,No internet service,19.75,No
Female,0,29,Yes,Electronic check,No internet service,20.0,No
Male,1,23,Yes,Electronic check,No,86.8,No
Female,0,57,No,Bank transfer (automatic),Yes,58.75,No
Male,0,72,No,Credit card (automatic),No,45.25,No
Male,0,66,No,Bank transfer (automatic),Yes,56.6,No
Male,0,65,Yes,Bank transfer (automatic),Yes,84.2,No
Female,0,8,Yes,Bank transfer (automatic),Yes,80.0,No
Female,0,4,Yes,Electronic check,No,70.15,Yes
Female,0,71,Yes,Bank transfer (automatic),No internet service,24.75,No
Male,0,1,Yes,Electronic check,No internet service,20.2,No
Male,0,4,Yes,Mailed check,No,50.05,Yes
Female,0,12,Yes,Bank transfer (automatic),No internet service,19.35,No
Male,0,24,No,Mailed check,Yes,50.6,No
Female,0,31,Yes,Mailed check,Yes,81.15,No
Female,0,1,Yes,Mailed check,Yes,55.2,Yes
Male,0,30,Yes,Credit card (automatic),No,89.9,No
Female,0,47,Yes,Credit card (automatic),Yes,85.3,No
Male,0,54,Yes,Credit card (automatic),Yes,108.0,No
Male,0,50,Yes,Credit card (automatic),No,93.5,No
Male,0,1,Yes,Mailed check,No,84.6,Yes
Female,0,72,Yes,Credit card (automatic),No internet service,20.25,No
Female,0,29,Yes,Electronic check,No internet service,25.15,No
Male,0,2,Yes,Mailed check,No,54.4,Yes
Female,0,10,No,Mailed check,No,29.6,No
Male,0,18,Yes,Electronic check,No,73.15,No
Female,1,11,Yes,Electronic check,Yes,95.0,Yes
Male,0,16,Yes,Mailed check,No internet service,19.75,No
Female,0,72,Yes,Bank transfer (automatic),Yes,86.6,No
Male,0,72,Yes,Bank transfer (automatic),Yes,109.2,No
Female,0,41,Yes,Credit card (automatic),Yes,74.7,No
Female,1,65,Yes,Electronic check,No,94.4,No
Female,1,13,Yes,Electronic check,No,54.8,No
Male,1,4,Yes,Electronic check,No,75.35,No
Male,0,41,Yes,Mailed check,No,65.0,No
Male,1,15,Yes,Electronic check,No,74.4,Yes
Male,0,1,Yes,Mailed check,No,48.55,Yes
Male,0,42,Yes,Electronic check,No,99.0,No
Female,0,51,Yes,Electronic check,Yes,93.5,No
Female,0,2,Yes,Electronic check,No,70.4,Yes
Male,1,1,No,Electronic check,Yes,40.2,Yes
Male,0,32,Yes,Credit card (automatic),Yes,83.7,No
Male,0,10,Yes,Mailed check,No internet service,19.85,No
Female,0,67,No,Electronic check,Yes,59.55,No
Female,0,61,Yes,Credit card (automatic),Yes,115.1,No
Male,0,50,Yes,Credit card (automatic),Yes,114.35,No
Female,0,2,Yes,Credit card (automatic),No,44.6,Yes
Female,1,29,No,Electronic check,No,45.0,No
Male,1,3,No,Electronic check,No,41.15,Yes
Male,1,13,Yes,Electronic check,Yes,106.9,Yes
Male,1,57,Yes,Electronic check,No,89.85,No
Female,0,31,No,Bank transfer (automatic),No,49.85,No
Female,0,45,Yes,Mailed check,Yes,113.3,No
Female,0,61,Yes,Mailed check,Yes,88.1,No
Male,0,50,Yes,Bank transfer (automatic),No internet service,24.9,No
Female,1,19,Yes,Mailed check,Yes,105.0,No
Male,0,59,Yes,Mailed check,No internet service,19.35,Yes
Female,0,71,Yes,Credit card (automatic),No internet service,24.25,No
Female,1,16,Yes,Electronic check,Yes,94.45,Yes
Male,0,57,Yes,Electronic check,No,59.75,No
Male,0,1,No,Bank transfer (automatic),No,24.8,Yes
Male,1,20,Yes,Electronic check,Yes,107.05,No
Male,0,1,Yes,Mailed check,No,70.6,Yes
Male,0,5,Yes,Electronic check,No,85.4,Yes
Female,0,52,Yes,Electronic check,Yes,105.05,Yes
Male,1,21,Yes,Bank transfer (automatic),No,64.95,No
Male,0,14,No,Electronic check,Yes,55.0,No
Female,0,5,Yes,Bank transfer (automatic),No,50.55,No
Female,0,6,Yes,Mailed check,No,55.15,No
Female,0,10,Yes,Electronic check,No,51.2,No
Female,0,1,Yes,Mailed check,No internet service,25.4,No
Female,0,68,Yes,Mailed check,No,54.45,No
Male,0,18,Yes,Mailed check,Yes,95.15,Yes
Female,0,22,Yes,Credit card (automatic),No,76.0,No
Female,0,20,Yes,Electronic check,No,44.35,No
Male,0,1,Yes,Electronic check,No,70.0,Yes
Male,1,8,Yes,Electronic check,No,74.5,Yes
Male,0,10,Yes,Credit card (automatic),No,44.85,Yes
Male,1,24,Yes,Electronic check,No,76.1,Yes
Male,0,35,Yes,Mailed check,No,61.2,No
Male,0,23,Yes,Mailed check,No,86.8,No
Female,1,6,Yes,Electronic check,Yes,89.35,No
Female,0,12,Yes,Mailed check,No internet service,19.7,No
Male,0,1,Yes,Mailed check,No internet service,20.25,No
Female,0,71,Yes,Electronic check,No,76.05,No
Male,1,35,Yes,Electronic check,Yes,100.8,No
Male,0,40,Yes,Electronic check,Yes,74.55,No
Female,0,1,Yes,Mailed check,No,73.6,Yes
Male,0,23,Yes,Bank transfer (automatic),Yes,64.9,No
Female,1,4,Yes,Electronic check,Yes,95.45,Yes
Male,0,4,Yes,Electronic check,No,90.4,No
Female,0,68,No,Credit card (automatic),Yes,60.3,No
Male,0,38,Yes,Mailed check,No,81.85,No
Male,0,52,Yes,Mailed check,No internet service,24.8,No
Male,1,32,Yes,Electronic check,No,74.9,Yes
Male,0,29,Yes,Mailed check,Yes,75.55,No
Male,1,38,Yes,Electronic check,Yes,101.15,No
Male,0,48,Yes,Credit card (automatic),Yes,78.75,No
Female,0,1,Yes,Bank transfer (automatic),No internet service,19.25,No
Female,0,22,Yes,Electronic check,No,89.05,No
Female,0,43,Yes,Credit card (automatic),Yes,115.05,No
Female,1,5,Yes,Electronic check,No,69.35,No
Male,0,5,Yes,Electronic check,Yes,80.6,Yes
Male,0,51,Yes,Credit card (automatic),Yes,110.05,No
Male,0,71,Yes,Credit card (automatic),No internet service,19.9,No
Female,0,38,Yes,Credit card (automatic),Yes,80.3,Yes
Male,1,24,Yes,Electronic check,Yes,93.15,Yes
Male,0,35,Yes,Credit card (automatic),Yes,91.5,No
Female,1,54,Yes,Bank transfer (automatic),Yes,82.45,Yes
Female,0,72,No,Electronic check,Yes,60.0,No
Male,0,1,Yes,Electronic check,No,44.8,No
Female,0,9,Yes,Mailed check,No,48.6,No
Male,0,69,No,Bank transfer (automatic),Yes,60.05,No
Female,0,52,Yes,Credit card (automatic),Yes,102.7,No
Female,1,11,Yes,Electronic check,Yes,82.9,No
Female,1,2,Yes,Electronic check,No,70.35,Yes
Female,1,28,No,Electronic check,Yes,35.9,No
Female,1,17,Yes,Credit card (automatic),No,82.65,No
Female,0,35,Yes,Mailed check,No internet service,19.85,No
Female,0,8,Yes,Mailed check,No internet service,19.2,No
Male,0,46,Yes,Credit card (automatic),Yes,94.9,No
Female,0,7,Yes,Electronic check,No,73.85,Yes
Female,0,2,Yes,Mailed check,No,80.6,Yes
Male,0,68,Yes,Bank transfer (automatic),No,75.8,Yes
Female,0,43,Yes,Electronic check,Yes,104.6,Yes
Female,0,68,Yes,Electronic check,Yes,88.15,No
Female,0,36,Yes,Credit card (automatic),Yes,94.8,No
Male,0,63,Yes,Electronic check,Yes,103.4,Yes
Female,1,32,Yes,Bank transfer (automatic),No,54.65,No
Female,0,71,Yes,Credit card (automatic),Yes,85.75,No
Female,0,66,Yes,Bank transfer (automatic),No,67.45,No
Male,0,63,Yes,Mailed check,No internet service,20.5,No
Female,0,41,Yes,Credit card (automatic),No internet service,20.25,No
Female,1,1,Yes,Electronic check,No,72.1,No
Female,0,2,Yes,Electronic check,Yes,90.4,Yes
Female,0,70,Yes,Bank transfer (automatic),No internet service,19.45,No
Female,0,23,No,Electronic check,Yes,44.95,No
Female,1,64,Yes,Bank transfer (automatic),No,97.0,No
Male,0,37,Yes,Credit card (automatic),No,62.8,No
Male,0,17,Yes,Mailed check,No,44.6,No
Female,1,7,Yes,Electronic check,Yes,89.15,No
Male,0,4,Yes,Bank transfer (automatic),No,84.8,Yes
Female,1,21,No,Electronic check,Yes,41.9,Yes
Female,0,10,Yes,Bank transfer (automatic),No,80.25,Yes
Female,1,16,Yes,Electronic check,No,54.1,No
Male,0,64,Yes,Electronic check,Yes,105.25,No
Male,1,27,No,Credit card (automatic),No,30.75,Yes
Male,0,42,Yes,Electronic check,Yes,97.1,No
Male,0,5,Yes,Mailed check,No internet service,20.2,No
Female,0,41,Yes,Bank transfer (automatic),Yes,98.8,No
Male,0,58,Yes,Credit card (automatic),No,50.3,No
Female,0,47,Yes,Mailed check,No internet service,20.55,No
Male,0,18,Yes,Bank transfer (automatic),No,75.9,No
Male,0,5,Yes,Bank transfer (automatic),Yes,96.5,Yes
Male,0,23,Yes,Bank transfer (automatic),No,59.95,No
Female,0,1,Yes,Mailed check,No internet service,19.15,No
Male,0,71,Yes,Credit card (automatic),Yes,98.65,No
Male,0,72,Yes,Credit card (automatic),Yes,112.6,No
Male,0,33,Yes,Mailed check,No internet service,20.6,No
Male,0,2,Yes,Electronic check,Yes,85.65,Yes
Male,0,24,No,Mailed check,No,35.75,No
Female,0,56,Yes,Credit card (automatic),No,99.75,No
Male,0,37,Yes,Credit card (automatic),Yes,96.1,No
Female,0,43,Yes,Credit card (automatic),Yes,85.1,No
Male,0,1,No,Mailed check,No,25.35,No
Female,0,25,Yes,Bank transfer (automatic),Yes,104.95,Yes
Female,0,61,Yes,Electronic check,Yes,89.65,No
Male,0,17,Yes,Electronic check,No,86.75,No
Female,0,41,Yes,Bank transfer (automatic),No,86.2,No
Male,0,1,Yes,Mailed check,No,50.65,Yes
Male,1,72,No,Bank transfer (automatic),Yes,64.8,No
Male,0,1,Yes,Credit card (automatic),No,90.85,Yes
Male,0,48,Yes,Bank transfer (automatic),Yes,108.1,No
Male,1,11,Yes,Mailed check,No internet service,19.95,Yes
Female,1,55,Yes,Electronic check,No,85.45,Yes
Female,0,42,No,Electronic check,No,54.75,No
Male,0,44,Yes,Mailed check,No,90.4,No
Male,0,1,Yes,Electronic check,No,44.0,No
Female,0,27,Yes,Bank transfer (automatic),Yes,95.6,No
Male,1,27,Yes,Bank transfer (automatic),Yes,84.8,No
Female,1,2,Yes,Electronic check,No,44.3,No
Female,0,19,Yes,Mailed check,No internet service,19.9,No
Female,1,42,Yes,Electronic check,Yes,95.05,No
Female,0,66,Yes,Credit card (automatic),Yes,90.05,No
Male,1,33,Yes,Bank transfer (automatic),Yes,109.9,No
Female,0,34,Yes,Credit card (automatic),No,73.95,Yes
Male,1,33,No,Electronic check,Yes,54.6,No
Female,0,23,Yes,Mailed check,No internet service,20.05,No
Female,0,32,Yes,Bank transfer (automatic),No internet service,19.75,No
Female,0,11,Yes,Credit card (automatic),No internet service,20.05,No
Male,0,69,Yes,Credit card (automatic),Yes,99.45,Yes
Female,0,68,Yes,Bank transfer (automatic),No,55.9,No
Male,0,20,Yes,Mailed check,No internet service,19.7,No
Male,0,72,Yes,Credit card (automatic),No internet service,19.8,No
Male,0,60,Yes,Bank transfer (automatic),Yes,95.4,No
Male,1,32,Yes,Mailed check,Yes,93.95,No
Female,0,1,Yes,Mailed check,No internet service,19.9,Yes
Male,0,1,Yes,Mailed check,No internet service,19.6,Yes
Male,1,3,Yes,Electronic check,No,81.35,Yes
Female,0,46,Yes,Bank transfer (automatic),No internet service,24.45,No
Female,0,29,Yes,Electronic check,No,74.95,No
Male,0,51,Yes,Electronic check,No,87.35,No
Female,1,48,Yes,Bank transfer (automatic),No,70.65,No
Female,0,16,Yes,Bank transfer (automatic),No,73.25,No
Male,0,70,Yes,Bank transfer (automatic),No,98.7,No
Female,0,40,Yes,Mailed check,No internet service,24.8,No
Female,0,22,Yes,Electronic check,No,83.3,Yes
Female,1,1,Yes,Bank transfer (automatic),No,75.3,Yes
Female,0,5,Yes,Mailed check,No internet service,24.3,No
Female,0,7,Yes,Bank transfer (automatic),No,69.85,No
Male,0,29,Yes,Credit card (automatic),No,100.55,No
Male,0,44,Yes,Mailed check,No internet service,25.7,No
Female,0,10,No,Bank transfer (automatic),No,40.7,No
Female,1,55,Yes,Bank transfer (automatic),No,51.65,No
Male,1,52,Yes,Bank transfer (automatic),Yes,105.1,No
Female,0,10,Yes,Electronic check,No,85.95,No
Male,0,18,Yes,Bank transfer (automatic),No,75.6,No
Female,0,68,Yes,Bank transfer (automatic),No,58.25,No
Female,0,61,Yes,Mailed check,No internet service,19.4,Yes
Female,0,72,No,Credit card (automatic),Yes,65.2,No
Male,0,2,Yes,Electronic check,No,53.45,No
Male,0,12,Yes,Bank transfer (automatic),No,45.4,Yes
Male,0,41,Yes,Electronic check,No internet service,19.75,No
Female,0,26,No,Credit card (automatic),Yes,44.45,No
Male,0,36,Yes,Bank transfer (automatic),No internet service,20.85,No
Male,0,72,Yes,Credit card (automatic),Yes,114.05,No
Male,0,35,Yes,Bank transfer (automatic),No,89.85,No
Male,0,1,Yes,Mailed check,No,55.05,No
Female,0,16,Yes,Electronic check,Yes,112.95,No
Female,1,49,Yes,Credit card (automatic),Yes,101.55,No
Female,0,54,Yes,Mailed check,Yes,114.65,No
Female,0,18,Yes,Electronic check,No,64.8,No
Female,0,36,Yes,Electronic check,No,80.4,No
Female,0,60,Yes,Electronic check,Yes,105.9,Yes
Female,0,1,Yes,Mailed check,No,69.55,Yes
Female,0,52,Yes,Bank transfer (automatic),No internet service,25.05,No
Male,0,8,Yes,Electronic check,Yes,94.75,No
Male,0,72,Yes,Bank transfer (automatic),Yes,105.5,No
Female,0,64,Yes,Mailed check,No internet service,24.7,No
Female,1,22,Yes,Mailed check,No,69.75,No
Male,0,60,No,Bank transfer (automatic),Yes,60.2,No
Female,0,28,Yes,Electronic check,No,81.05,Yes
Female,0,61,Yes,Mailed check,No internet service,24.4,No
Female,0,24,Yes,Electronic check,Yes,104.15,No
Male,0,28,Yes,Bank transfer (automatic),Yes,92.9,No
Female,0,30,Yes,Bank transfer (automatic),Yes,80.8,No
Male,0,2,Yes,Mailed check,No internet service,20.0,No
Male,0,1,Yes,Electronic check,No,75.1,No
Male,0,6,Yes,Mailed check,No internet service,19.65,No
Female,0,24,Yes,Bank transfer (automatic),Yes,69.45,No
Male,0,4,Yes,Electronic check,Yes,101.15,Yes
Male,0,7,Yes,Electronic check,Yes,99.8,Yes
Male,1,72,Yes,Bank transfer (automatic),Yes,116.05,No
Male,0,70,No,Mailed check,No,40.05,No
Male,1,64,Yes,Electronic check,Yes,102.1,No
Male,0,72,Yes,Electronic check,Yes,89.7,No
Female,0,44,Yes,Mailed check,No internet service,19.9,No
Female,0,13,Yes,Electronic check,No,55.95,Yes
Female,1,17,Yes,Mailed check,No internet service,20.65,No
Male,0,1,Yes,Electronic check,No,55.0,Yes
Male,0,9,Yes,Mailed check,Yes,70.05,No
Male,0,24,Yes,Mailed check,No,53.6,No
Female,0,1,Yes,Electronic check,No,74.7,Yes
Male,0,24,Yes,Electronic check,No,80.25,Yes
Male,1,35,Yes,Electronic check,Yes,76.05,No
Female,0,7,Yes,Electronic check,Yes,75.7,No
Male,0,5,Yes,Electronic check,Yes,96.1,Yes
Female,0,15,Yes,Bank transfer (automatic),No,69.0,Yes
Male,0,11,Yes,Mailed check,No internet service,19.65,No
Female,0,48,No,Bank transfer (automatic),No,45.3,Yes
Female,1,20,Yes,Electronic check,No,81.45,No
Female,0,72,Yes,Bank transfer (automatic),Yes,108.5,No
Female,0,8,Yes,Electronic check,Yes,83.55,Yes
Male,0,72,Yes,Credit card (automatic),No,84.5,No
Female,0,15,Yes,Electronic check,Yes,100.15,No
Male,0,72,Yes,Bank transfer (automatic),Yes,88.6,No
